full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/Library/Ossec/ruleset/sca/cis_apple_macOS_13.x.yml,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-control,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-logcollector,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-execd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-syscheckd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/manage_agents,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/agent-auth,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-agentd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-modulesd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_pixconfig_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_integrity_check_bsd,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_generic_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_integrity_check_linux,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_asa-fwsmconfig_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/main.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_nopass.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_foundry_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/register_host.sh,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/sshlogin.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/su.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/etc/internal_options.conf,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/wpk_root.pem,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/localtime,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/ossec.conf,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/local_internal_options.conf,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/client.keys,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/shared/cis_win2012r2_memberL1_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_audit_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/rootkit_trojans.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_domainL1_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel6_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_memberL2_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_apache2224_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
